,105,5301,301,303,5303,107,305,5305,307,109,309,5307,311,111,313,5309,315,113,317,5311,115,319,5313,117,321,5315,119,323,5317,121,325,5319,123,327,329,5321,125,331,333,5323,127,335,337,5325,129,339,341,5327,131,343,345,5329,133,347,5331,135,349,5333,137,351,5335,139,353,5337,141,143,145,101,103
micha,5:05,,5:38,6:08,,6:28,6:48,,7:08,7:28,7:48,,8:08,8:28,8:48,,9:08,9:28,9:58,,10:28,10:58,,11:28,11:58,,12:28,12:58,,13:28,13:58,,14:28,14:48,15:08,,15:28,15:48,16:08,,16:28,16:48,17:08,,17:28,17:48,18:08,,18:28,18:48,19:08,,19:28,19:58,,20:28,20:58,,21:28,21:58,,22:28,22:53,,23:28,23:53,0:15,0:37,0:59
regul,5:07,,5:40,6:10,,6:30,6:50,,7:10,7:30,7:50,,8:10,8:30,8:50,,9:10,9:30,10:00,,10:30,11:00,,11:30,12:00,,12:30,13:00,,13:30,14:00,,14:30,14:50,15:10,,15:30,15:50,16:10,,16:30,16:50,17:10,,17:30,17:50,18:10,,18:30,18:50,19:10,,19:30,20:00,,20:30,21:00,,21:30,22:00,,22:30,22:55,,23:30,23:55,0:17,0:39,1:01
malic,5:09,,5:42,6:12,,6:32,6:52,,7:12,7:32,7:52,,8:12,8:32,8:52,,9:12,9:32,10:02,,10:32,11:02,,11:32,12:02,,12:32,13:02,,13:32,14:02,,14:32,14:52,15:12,,15:32,15:52,16:12,,16:32,16:52,17:12,,17:32,17:52,18:12,,18:32,18:52,19:12,,19:32,20:02,,20:32,21:02,,21:32,22:02,,22:32,22:57,,23:32,23:57,0:19,0:41,1:03
twork,5:12,,5:45,6:15,,6:35,6:55,,7:15,7:35,7:55,,8:15,8:35,8:55,,9:15,9:35,10:05,,10:35,11:05,,11:35,12:05,,12:35,13:05,,13:35,14:05,,14:35,14:55,15:15,,15:35,15:55,16:15,,16:35,16:55,17:15,,17:35,17:55,18:15,,18:35,18:55,19:15,,19:35,20:05,,20:35,21:05,,21:35,22:05,,22:35,23:00,,23:35,0:00,0:22,0:44,1:06
prusz,5:14,,5:47,6:17,,6:37,6:57,,7:17,7:37,7:57,,8:17,8:37,8:57,,9:17,9:37,10:07,,10:37,11:07,,11:37,12:07,,12:37,13:07,,13:37,14:07,,14:37,14:57,15:17,,15:37,15:57,16:17,,16:37,16:57,17:17,,17:37,17:57,18:17,,18:37,18:57,19:17,,19:37,20:07,,20:37,21:07,,21:37,22:07,,22:37,23:02,,23:37,0:02,0:24,0:46,1:08
komor,5:16,,5:49,6:19,,6:39,6:59,,7:19,7:39,7:59,,8:19,8:39,8:59,,9:19,9:39,10:09,,10:39,11:09,,11:39,12:09,,12:39,13:09,,13:39,14:09,,14:39,14:59,15:19,,15:39,15:59,16:19,,16:39,16:59,17:19,,17:39,17:59,18:19,,18:39,18:59,19:19,,19:39,20:09,,20:39,21:09,,21:39,22:09,,22:39,23:04,,23:39,0:04,0:26,0:48,1:10
,5:17,,5:50,6:20,,6:40,7:00,,7:20,7:40,8:00,,8:20,8:40,9:00,,9:20,9:40,10:10,,10:40,11:10,,11:40,12:10,,12:40,13:10,,13:40,14:10,,14:40,15:00,15:20,,15:40,16:00,16:20,,16:40,17:00,17:20,,17:40,18:00,18:20,,18:40,19:00,19:20,,19:40,20:10,,20:40,21:10,,21:40,22:10,,22:40,23:05,,23:40,0:05,0:27,0:49,1:11
nwwar,5:19,,5:52,6:22,,6:42,7:02,,7:22,7:42,8:02,,8:22,8:42,9:02,,9:22,9:42,10:12,,10:42,11:12,,11:42,12:12,,12:42,13:12,,13:42,14:12,,14:42,15:02,15:22,,15:42,16:02,16:22,,16:42,17:02,17:22,,17:42,18:02,18:22,,18:42,19:02,19:22,,19:42,20:12,,20:42,21:12,,21:42,22:12,,22:42,23:07,,23:42,0:07,0:29,0:51,1:13
kanie,5:21,,5:54,6:24,,6:44,7:04,,7:24,7:44,8:04,,8:24,8:44,9:04,,9:24,9:44,10:14,,10:44,11:14,,11:44,12:14,,12:44,13:14,,13:44,14:14,,14:44,15:04,15:24,,15:44,16:04,16:24,,16:44,17:04,17:24,,17:44,18:04,18:24,,18:44,19:04,19:24,,19:44,20:14,,20:44,21:14,,21:44,22:14,,22:44,23:09,,23:44,0:09,0:31,0:53,1:15
otreb,5:23,,5:56,6:26,,6:46,7:06,,7:26,7:46,8:06,,8:26,8:46,9:06,,9:26,9:46,10:16,,10:46,11:16,,11:46,12:16,,12:46,13:16,,13:46,14:16,,14:46,15:06,15:26,,15:46,16:06,16:26,,16:46,17:06,17:26,,17:46,18:06,18:26,,18:46,19:06,19:26,,19:46,20:16,,20:46,21:16,,21:46,22:16,,22:46,23:11,,23:46,0:11,0:33,0:55,1:17
plwsc,5:25,,5:58,6:28,,6:48,7:08,,7:28,7:48,8:08,,8:28,8:48,9:08,,9:28,9:48,10:18,,10:48,11:18,,11:48,12:18,,12:48,13:18,,13:48,14:18,,14:48,15:08,15:28,,15:48,16:08,16:28,,16:48,17:08,17:28,,17:48,18:08,18:28,,18:48,19:08,19:28,,19:48,20:18,,20:48,21:18,,21:48,22:18,,22:48,23:13,,23:48,0:13,0:35,0:57,1:19
plglo,5:27,,6:00,6:30,,6:50,7:10,,7:30,7:50,8:10,,8:30,8:50,9:10,,9:30,9:50,10:20,,10:50,11:20,,11:50,12:20,,12:50,13:20,,13:50,14:20,,14:50,15:10,15:30,,15:50,16:10,16:30,,16:50,17:10,17:30,,17:50,18:10,18:30,,18:50,19:10,19:30,,19:50,20:20,,20:50,21:20,,21:50,22:20,,22:50,23:15,,23:50,0:15,0:37,0:59,1:21
,5:29,5:32,,,6:35,6:52,,07:15:00,,7:52,,8:15,,8:52,,9:15,,9:52,,10:25,10:52:00,,11:25,11:52:00,,12:25,12:52:00,,13:25,13:52:00,,14:25,14:52:00,,,15:35,15:52:00,,,16:35,16:52:00,,,17:35,17:52:00,,,18:35,18:52:00,,,19:35,19:52:00,,20:25,20:52:00,,21:25,21:52:00,,22:25,22:52:00,,23:20,23:52,0:17,0:39,1:01,1:23
plzac,5:31,,,,,6:54,,,,7:54,,,,8:54,,,,9:54,,,10:54,,,11:54,,,12:54,,,13:54,,,14:54,,,,15:54,,,,16:54,,,,17:54,,,,18:54,,,,19:54,,,20:54,,,21:54,,,22:54,,,23:54,0:19,0:41,1:03,1:25
poles,,5:37,,,6:40,,,07:20:00,,,,8:20,,,,9:20,,,,10:30,,,11:30,,,12:30,,,13:30,,,14:30,,,,15:40,,,,16:40,,,,17:40,,,,18:40,,,,19:40,,,20:30,,,21:30,,,22:30,,,23:25,,,,,
milgr,,5:39,,,6:42,,,07:22:00,,,,8:22,,,,9:22,,,,10:32,,,11:32,,,12:32,,,13:32,,,14:32,,,,15:42,,,,16:42,,,,17:42,,,,18:42,,,,19:42,,,20:32,,,21:32,,,22:32,,,23:27,,,,,
kazim,5:34,,,,,6:57,,,,7:57,,,,8:57,,,,9:57,,,10:57,,,11:57,,,12:57,,,13:57,,,14:57,,,,15:57,,,,16:57,,,,17:57,,,,18:57,,,,19:57,,,20:57,,,21:57,,,22:57,,,23:57,0:22,0:44,1:06,1:28
brzoz,5:37,,,,,7:00,,,,8:00,,,,9:00,,,,10:00,,,11:00,,,12:00,,,13:00,,,14:00,,,15:00,,,,16:00,,,,17:00,,,,18:00,,,,19:00,,,,20:00,,,21:00,,,22:00,,,23:00,,,0:00,0:25,0:47,1:09,1:31
gmokr,5:40,,,,,7:03,,,,8:03,,,,9:03,,,,10:03,,,11:03,,,12:03,,,13:03,,,14:03,,,15:03,,,,16:03,,,,17:03,,,,18:03,,,,19:03,,,,20:03,,,21:03,,,22:03,,,23:03,,,0:03,0:28,0:50,1:12,1:34
gmpia,5:42,,,,,7:05,,,,8:05,,,,9:05,,,,10:05,,,11:05,,,12:05,,,13:05,,,14:05,,,15:05,,,,16:05,,,,17:05,,,,18:05,,,,19:05,,,,20:05,,,21:05,,,22:05,,,23:05,,,0:05,0:30,0:52,1:14,1:36
gmjor,5:44,,,,,7:07,,,,8:07,,,,9:07,,,,10:07,,,11:07,,,12:07,,,13:07,,,14:07,,,15:07,,,,16:07,,,,17:07,,,,18:07,,,,19:07,,,,20:07,,,21:07,,,22:07,,,23:07,,,0:07,0:32,0:54,1:16,1:38
gmrad,5:47,,,,,7:10,,,,8:10,,,,9:10,,,,10:10,,,11:10,,,12:10,,,13:10,,,14:10,,,15:10,,,,16:10,,,,17:10,,,,18:10,,,,19:10,,,,20:10,,,21:10,,,22:10,,,23:10,,,0:10,0:35,0:57,1:19,1:41
